"","Cluster","Segment"
"D01E01C",4,"Cecum"
"D01E01D",4,"Duodenum"
"D01E01I",4,"Ileum"
"D01E01J",4,"Jejunum"
"D01E02C",4,"Cecum"
"D01E02D",4,"Duodenum"
"D01E02I",4,"Ileum"
"D01E02J",4,"Jejunum"
"D01E03C",4,"Cecum"
"D01E03D",4,"Duodenum"
"D01E03I",4,"Ileum"
"D01E03J",4,"Jejunum"
"D01E04C",4,"Cecum"
"D01E04D",4,"Duodenum"
"D01E04I",4,"Ileum"
"D01E04J",4,"Jejunum"
"D01E05C",4,"Cecum"
"D01E05D",4,"Duodenum"
"D01E05I",4,"Ileum"
"D01E05J",4,"Jejunum"
"D01E06C",4,"Cecum"
"D01E06D",4,"Duodenum"
"D01E06I",4,"Ileum"
"D01E06J",4,"Jejunum"
"D01E07C",4,"Cecum"
"D01E07D",4,"Duodenum"
"D01E07I",4,"Ileum"
"D01E07J",4,"Jejunum"
"D01E08C",4,"Cecum"
"D01E08D",4,"Duodenum"
"D01E08I",4,"Ileum"
"D01E08J",4,"Jejunum"
"D01E09C",4,"Cecum"
"D01E09D",4,"Duodenum"
"D01E09I",4,"Ileum"
"D01E09J",4,"Jejunum"
"D01E10C",4,"Cecum"
"D01E10D",4,"Duodenum"
"D01E10I",4,"Ileum"
"D01E10J",4,"Jejunum"
"D04E01C",3,"Cecum"
"D04E01D",3,"Duodenum"
"D04E01I",1,"Ileum"
"D04E01J",2,"Jejunum"
"D04E02C",3,"Cecum"
"D04E02D",1,"Duodenum"
"D04E02I",1,"Ileum"
"D04E02J",3,"Jejunum"
"D04E03C",3,"Cecum"
"D04E03D",1,"Duodenum"
"D04E03I",1,"Ileum"
"D04E03J",2,"Jejunum"
"D04E04C",3,"Cecum"
"D04E04D",1,"Duodenum"
"D04E04I",1,"Ileum"
"D04E04J",2,"Jejunum"
"D04E05C",3,"Cecum"
"D04E05D",3,"Duodenum"
"D04E05I",1,"Ileum"
"D04E05J",2,"Jejunum"
"D04E06C",3,"Cecum"
"D04E06D",1,"Duodenum"
"D04E06I",1,"Ileum"
"D04E06J",2,"Jejunum"
"D04E07C",3,"Cecum"
"D04E07D",1,"Duodenum"
"D04E07I",4,"Ileum"
"D04E07J",2,"Jejunum"
"D04E08C",3,"Cecum"
"D04E08D",1,"Duodenum"
"D04E08I",1,"Ileum"
"D04E08J",2,"Jejunum"
"D04E09C",3,"Cecum"
"D04E09D",1,"Duodenum"
"D04E09I",1,"Ileum"
"D04E09J",2,"Jejunum"
"D04E10C",3,"Cecum"
"D04E10D",1,"Duodenum"
"D04E10I",3,"Ileum"
"D04E10J",2,"Jejunum"
"D07E01C",3,"Cecum"
"D07E01D",1,"Duodenum"
"D07E01I",1,"Ileum"
"D07E01J",2,"Jejunum"
"D07E02C",3,"Cecum"
"D07E02D",1,"Duodenum"
"D07E02I",1,"Ileum"
"D07E02J",2,"Jejunum"
"D07E03C",3,"Cecum"
"D07E03D",3,"Duodenum"
"D07E03I",1,"Ileum"
"D07E03J",2,"Jejunum"
"D07E04C",3,"Cecum"
"D07E04D",1,"Duodenum"
"D07E04I",1,"Ileum"
"D07E04J",1,"Jejunum"
"D07E05C",3,"Cecum"
"D07E05D",3,"Duodenum"
"D07E05I",1,"Ileum"
"D07E05J",2,"Jejunum"
"D07E06C",3,"Cecum"
"D07E06D",1,"Duodenum"
"D07E06I",1,"Ileum"
"D07E06J",2,"Jejunum"
"D07E07C",3,"Cecum"
"D07E07D",1,"Duodenum"
"D07E07I",1,"Ileum"
"D07E07J",1,"Jejunum"
"D07E08C",3,"Cecum"
"D07E08D",1,"Duodenum"
"D07E08I",1,"Ileum"
"D07E08J",1,"Jejunum"
"D07E09C",3,"Cecum"
"D07E09D",1,"Duodenum"
"D07E09I",1,"Ileum"
"D07E09J",1,"Jejunum"
"D07E10C",3,"Cecum"
"D07E10D",1,"Duodenum"
"D07E10I",1,"Ileum"
"D07E10J",1,"Jejunum"
"D14E01C",1,"Cecum"
"D14E01D",1,"Duodenum"
"D14E01I",1,"Ileum"
"D14E01J",1,"Jejunum"
"D14E02C",1,"Cecum"
"D14E02D",1,"Duodenum"
"D14E02I",4,"Ileum"
"D14E02J",2,"Jejunum"
"D14E03C",1,"Cecum"
"D14E03D",1,"Duodenum"
"D14E03I",1,"Ileum"
"D14E03J",2,"Jejunum"
"D14E04C",1,"Cecum"
"D14E04D",1,"Duodenum"
"D14E04I",1,"Ileum"
"D14E04J",2,"Jejunum"
"D14E05C",1,"Cecum"
"D14E05D",1,"Duodenum"
"D14E05I",2,"Ileum"
"D14E05J",2,"Jejunum"
"D14E06C",1,"Cecum"
"D14E06D",1,"Duodenum"
"D14E06I",1,"Ileum"
"D14E06J",2,"Jejunum"
"D14E07C",1,"Cecum"
"D14E07D",1,"Duodenum"
"D14E07I",4,"Ileum"
"D14E07J",2,"Jejunum"
"D14E08C",1,"Cecum"
"D14E08D",1,"Duodenum"
"D14E08I",1,"Ileum"
"D14E08J",2,"Jejunum"
"D14E09C",1,"Cecum"
"D14E09D",3,"Duodenum"
"D14E09I",1,"Ileum"
"D14E09J",2,"Jejunum"
"D14E10C",2,"Cecum"
"D14E10D",1,"Duodenum"
"D14E10I",1,"Ileum"
"D14E10J",2,"Jejunum"
"D21E01C",1,"Cecum"
"D21E01D",1,"Duodenum"
"D21E01I",4,"Ileum"
"D21E01J",1,"Jejunum"
"D21E02C",3,"Cecum"
"D21E02D",1,"Duodenum"
"D21E02I",1,"Ileum"
"D21E02J",2,"Jejunum"
"D21E03C",1,"Cecum"
"D21E03D",1,"Duodenum"
"D21E03I",1,"Ileum"
"D21E03J",2,"Jejunum"
"D21E04C",2,"Cecum"
"D21E04D",1,"Duodenum"
"D21E04I",2,"Ileum"
"D21E04J",2,"Jejunum"
"D21E05C",1,"Cecum"
"D21E05D",1,"Duodenum"
"D21E05I",2,"Ileum"
"D21E05J",2,"Jejunum"
"D21E06C",1,"Cecum"
"D21E06D",1,"Duodenum"
"D21E06I",2,"Ileum"
"D21E06J",2,"Jejunum"
"D21E07C",1,"Cecum"
"D21E07D",1,"Duodenum"
"D21E07I",1,"Ileum"
"D21E07J",2,"Jejunum"
"D21E08C",1,"Cecum"
"D21E08D",1,"Duodenum"
"D21E08I",1,"Ileum"
"D21E08J",1,"Jejunum"
"D21E09C",1,"Cecum"
"D21E09D",3,"Duodenum"
"D21E09I",1,"Ileum"
"D21E09J",2,"Jejunum"
"D21E10C",1,"Cecum"
"D21E10D",1,"Duodenum"
"D21E10I",1,"Ileum"
"D21E10J",2,"Jejunum"
"D28E01C",1,"Cecum"
"D28E01D",1,"Duodenum"
"D28E01I",1,"Ileum"
"D28E01J",2,"Jejunum"
"D28E02C",3,"Cecum"
"D28E02D",1,"Duodenum"
"D28E02I",1,"Ileum"
"D28E02J",2,"Jejunum"
"D28E03C",3,"Cecum"
"D28E03D",1,"Duodenum"
"D28E03I",1,"Ileum"
"D28E03J",2,"Jejunum"
"D28E04C",3,"Cecum"
"D28E04D",1,"Duodenum"
"D28E04I",1,"Ileum"
"D28E04J",1,"Jejunum"
"D28E05C",1,"Cecum"
"D28E05D",1,"Duodenum"
"D28E05I",1,"Ileum"
"D28E05J",2,"Jejunum"
"D28E06C",1,"Cecum"
"D28E06D",1,"Duodenum"
"D28E06I",1,"Ileum"
"D28E06J",2,"Jejunum"
"D28E07C",1,"Cecum"
"D28E07D",1,"Duodenum"
"D28E07I",1,"Ileum"
"D28E07J",3,"Jejunum"
"D28E08C",3,"Cecum"
"D28E08D",1,"Duodenum"
"D28E08I",1,"Ileum"
"D28E08J",2,"Jejunum"
"D28E09C",3,"Cecum"
"D28E09D",1,"Duodenum"
"D28E09I",1,"Ileum"
"D28E09J",2,"Jejunum"
"D28E10C",3,"Cecum"
"D28E10D",1,"Duodenum"
"D28E10I",1,"Ileum"
"D28E10J",2,"Jejunum"
"D35E01C",3,"Cecum"
"D35E01D",1,"Duodenum"
"D35E01I",2,"Ileum"
"D35E01J",2,"Jejunum"
"D35E02C",3,"Cecum"
"D35E02D",3,"Duodenum"
"D35E02I",1,"Ileum"
"D35E02J",2,"Jejunum"
"D35E03C",3,"Cecum"
"D35E03D",1,"Duodenum"
"D35E03I",1,"Ileum"
"D35E03J",2,"Jejunum"
"D35E04C",3,"Cecum"
"D35E04D",1,"Duodenum"
"D35E04I",1,"Ileum"
"D35E04J",1,"Jejunum"
"D35E05C",3,"Cecum"
"D35E05D",1,"Duodenum"
"D35E05I",1,"Ileum"
"D35E05J",2,"Jejunum"
"D35E06C",3,"Cecum"
"D35E06D",3,"Duodenum"
"D35E06I",4,"Ileum"
"D35E06J",1,"Jejunum"
"D35E07C",3,"Cecum"
"D35E07D",1,"Duodenum"
"D35E07I",3,"Ileum"
"D35E07J",2,"Jejunum"
"D35E08C",3,"Cecum"
"D35E08D",1,"Duodenum"
"D35E08I",1,"Ileum"
"D35E08J",2,"Jejunum"
"D35E09C",3,"Cecum"
"D35E09D",1,"Duodenum"
"D35E09I",2,"Ileum"
"D35E09J",2,"Jejunum"
"D35E10C",3,"Cecum"
"D35E10D",1,"Duodenum"
"D35E10I",2,"Ileum"
"D35E10J",2,"Jejunum"
"D42E01C",1,"Cecum"
"D42E01D",1,"Duodenum"
"D42E01I",1,"Ileum"
"D42E01J",2,"Jejunum"
"D42E02C",1,"Cecum"
"D42E02D",1,"Duodenum"
"D42E02I",1,"Ileum"
"D42E02J",2,"Jejunum"
"D42E03C",1,"Cecum"
"D42E03D",1,"Duodenum"
"D42E03I",1,"Ileum"
"D42E03J",2,"Jejunum"
"D42E04C",1,"Cecum"
"D42E04D",1,"Duodenum"
"D42E04I",1,"Ileum"
"D42E04J",2,"Jejunum"
"D42E05C",1,"Cecum"
"D42E05D",1,"Duodenum"
"D42E05I",2,"Ileum"
"D42E05J",2,"Jejunum"
"D42E06C",1,"Cecum"
"D42E06D",1,"Duodenum"
"D42E06I",1,"Ileum"
"D42E06J",2,"Jejunum"
"D42E07C",1,"Cecum"
"D42E07D",2,"Duodenum"
"D42E07I",2,"Ileum"
"D42E07J",2,"Jejunum"
"D42E08C",1,"Cecum"
"D42E08D",1,"Duodenum"
"D42E08I",1,"Ileum"
"D42E08J",2,"Jejunum"
"D42E09C",1,"Cecum"
"D42E09D",2,"Duodenum"
"D42E09I",1,"Ileum"
"D42E09J",1,"Jejunum"
"D42E10C",2,"Cecum"
"D42E10D",1,"Duodenum"
"D42E10I",1,"Ileum"
"D42E10J",2,"Jejunum"
